threshold,tp,fp,tn,fn,accuracy,precision,recall,specificity,f1,false_positive_rate,false_negative_rate
0.3,0,0,10,15,0.4,0.0,0.0,1.0,0.0,0.0,1.0
0.32,2,0,10,13,0.48,1.0,0.13333333333333333,1.0,0.23529411764705882,0.0,0.8666666666666667
0.34,4,0,10,11,0.56,1.0,0.26666666666666666,1.0,0.4210526315789474,0.0,0.7333333333333333
0.36,7,0,10,8,0.68,1.0,0.4666666666666667,1.0,0.6363636363636364,0.0,0.5333333333333333
0.38,9,0,10,6,0.76,1.0,0.6,1.0,0.7499999999999999,0.0,0.4
0.4,13,0,10,2,0.92,1.0,0.8666666666666667,1.0,0.9285714285714286,0.0,0.13333333333333333
0.42,14,0,10,1,0.96,1.0,0.9333333333333333,1.0,0.9655172413793104,0.0,0.06666666666666667
0.44,14,0,10,1,0.96,1.0,0.9333333333333333,1.0,0.9655172413793104,0.0,0.06666666666666667
0.46,14,0,10,1,0.96,1.0,0.9333333333333333,1.0,0.9655172413793104,0.0,0.06666666666666667
0.48,14,0,10,1,0.96,1.0,0.9333333333333333,1.0,0.9655172413793104,0.0,0.06666666666666667
0.5,15,0,10,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.52,15,0,10,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.54,15,0,10,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.56,15,1,9,0,0.96,0.9375,1.0,0.9,0.967741935483871,0.1,0.0
0.58,15,1,9,0,0.96,0.9375,1.0,0.9,0.967741935483871,0.1,0.0
0.6,15,1,9,0,0.96,0.9375,1.0,0.9,0.967741935483871,0.1,0.0
0.62,15,1,9,0,0.96,0.9375,1.0,0.9,0.967741935483871,0.1,0.0
0.64,15,2,8,0,0.92,0.8823529411764706,1.0,0.8,0.9375,0.2,0.0
0.66,15,2,8,0,0.92,0.8823529411764706,1.0,0.8,0.9375,0.2,0.0
0.68,15,6,4,0,0.76,0.7142857142857143,1.0,0.4,0.8333333333333333,0.6,0.0
0.7,15,7,3,0,0.72,0.6818181818181818,1.0,0.3,0.8108108108108109,0.7,0.0
0.72,15,9,1,0,0.64,0.625,1.0,0.1,0.7692307692307693,0.9,0.0
0.74,15,9,1,0,0.64,0.625,1.0,0.1,0.7692307692307693,0.9,0.0
0.76,15,10,0,0,0.6,0.6,1.0,0.0,0.7499999999999999,1.0,0.0
0.78,15,10,0,0,0.6,0.6,1.0,0.0,0.7499999999999999,1.0,0.0
0.8,15,10,0,0,0.6,0.6,1.0,0.0,0.7499999999999999,1.0,0.0
0.82,15,10,0,0,0.6,0.6,1.0,0.0,0.7499999999999999,1.0,0.0
0.84,15,10,0,0,0.6,0.6,1.0,0.0,0.7499999999999999,1.0,0.0
0.86,15,10,0,0,0.6,0.6,1.0,0.0,0.7499999999999999,1.0,0.0
0.88,15,10,0,0,0.6,0.6,1.0,0.0,0.7499999999999999,1.0,0.0
0.9,15,10,0,0,0.6,0.6,1.0,0.0,0.7499999999999999,1.0,0.0
0.92,15,10,0,0,0.6,0.6,1.0,0.0,0.7499999999999999,1.0,0.0
0.94,15,10,0,0,0.6,0.6,1.0,0.0,0.7499999999999999,1.0,0.0
0.96,15,10,0,0,0.6,0.6,1.0,0.0,0.7499999999999999,1.0,0.0
0.98,15,10,0,0,0.6,0.6,1.0,0.0,0.7499999999999999,1.0,0.0
1.0,15,10,0,0,0.6,0.6,1.0,0.0,0.7499999999999999,1.0,0.0
1.02,15,10,0,0,0.6,0.6,1.0,0.0,0.7499999999999999,1.0,0.0
1.04,15,10,0,0,0.6,0.6,1.0,0.0,0.7499999999999999,1.0,0.0
1.06,15,10,0,0,0.6,0.6,1.0,0.0,0.7499999999999999,1.0,0.0
1.08,15,10,0,0,0.6,0.6,1.0,0.0,0.7499999999999999,1.0,0.0
1.1,15,10,0,0,0.6,0.6,1.0,0.0,0.7499999999999999,1.0,0.0
